zone,gender,age,indigenous,fam_members,eapop,labcat,labbranch,firm_size,formality,work_hours,work_income,educ,poverty,job_tenure
urban,woman,9,other,7,0,,,,,,,4,notpoor,
urban,woman,7,other,7,0,,,,,,,1,notpoor,
urban,woman,5,other,7,0,,,,,,,0,notpoor,
urban,woman,36,indigenous,3,1,selfemployed,services,small,1,40,5000,17,notpoor,10
urban,man,48,other,3,1,,,,0,,,17,notpoor,
urban,woman,3,other,3,0,,,,,,,,notpoor,
urban,woman,54,indigenous,2,1,employee,trade,small,0,40,1000,5,notpoor,0.8333333
urban,man,31,other,2,0,,,,,,,12,notpoor,
urban,man,48,other,4,1,employee,trade,medium,1,60,2591.667,12,notpoor,12
urban,woman,34,other,4,1,selfemployed,manufacture,small,0,6,650,6,notpoor,6
urban,man,15,other,4,0,,,,,,,9,notpoor,
urban,man,12,other,4,0,,,,,,,6,notpoor,
urban,woman,61,indigenous,2,0,,,,,,,3,poor,
urban,man,28,indigenous,2,0,,,,,,,16,poor,
urban,woman,45,other,3,1,unpaid,manufacture,small,0,16,0,12,notpoor,0.25
urban,man,61,other,3,1,selfemployed,manufacture,small,0,32,1540,16,notpoor,3
urban,woman,2,other,3,0,,,,,,,,notpoor,
urban,man,47,indigenous,5,1,employee,transportation,large,1,90,4383.333,9,notpoor,10
urban,woman,45,indigenous,5,1,selfemployed,trade,small,0,20,6000,6,notpoor,10
urban,woman,18,other,5,0,,,,,,,11,notpoor,
urban,man,14,other,5,0,,,,,,,8,notpoor,
urban,woman,10,other,5,0,,,,,,,4,notpoor,
urban,man,40,indigenous,5,1,employee,manufacture,small,0,60,6450,12,notpoor,0.6666667
urban,woman,45,indigenous,5,1,employee,services,medium,1,25,3287.333,17,notpoor,2
urban,woman,16,indigenous,5,0,,,,,,,10,notpoor,
urban,man,14,indigenous,5,0,,,,,,,7,notpoor,
urban,man,7,indigenous,5,0,,,,,,,1,notpoor,
urban,woman,55,indigenous,2,1,selfemployed,trade,small,0,21,4500,8,notpoor,25
urban,woman,37,indigenous,2,1,selfemployed,trade,small,0,24,3900,12,notpoor,20
urban,man,53,indigenous,7,1,selfemployed,transportation,small,0,60,13500,12,notpoor,3
urban,woman,46,indigenous,7,1,selfemployed,manufacture,small,0,30,3000,9,notpoor,5
urban,man,23,indigenous,7,1,unpaid,transportation,small,0,60,0,12,notpoor,2
urban,man,15,indigenous,7,0,,,,,,,9,notpoor,
urban,woman,25,indigenous,7,1,,,,0,,,12,notpoor,
urban,man,5,indigenous,7,0,,,,,,,0,notpoor,
urban,woman,2,indigenous,7,0,,,,,,,,notpoor,
urban,man,47,other,4,1,employee,services,medium,1,40,5243.333,17,notpoor,5
urban,woman,43,other,4,1,employee,services,medium,1,40,4295,17,notpoor,4
urban,man,8,other,4,0,,,,,,,2,notpoor,
urban,woman,6,other,4,0,,,,,,,0,notpoor,
urban,man,59,indigenous,2,1,selfemployed,trade,small,0,60,1634,7,notpoor,7
urban,woman,54,indigenous,2,0,,,,,,,5,notpoor,
urban,man,35,indigenous,5,1,selfemployed,trade,small,0,54,8100,15,notpoor,10
urban,woman,35,other,5,0,,,,,,,12,notpoor,
urban,man,9,other,5,0,,,,,,,3,notpoor,
urban,woman,7,other,5,0,,,,,,,1,notpoor,
urban,man,4,other,5,0,,,,,,,0,notpoor,
urban,man,43,indigenous,6,1,employee,services,small,0,72,3600,5,notpoor,5
urban,woman,48,indigenous,6,1,employee,services,,0,40,1100,11,notpoor,0.1666667
urban,woman,18,indigenous,6,0,,,,,,,11,notpoor,
urban,man,15,indigenous,6,0,,,,,,,8,notpoor,
urban,woman,10,indigenous,6,0,,,,,,,4,notpoor,
urban,man,8,indigenous,6,0,,,,,,,1,notpoor,
urban,woman,44,other,3,1,employee,services,,0,44,2200,12,notpoor,7
urban,man,19,other,3,1,,,,0,,,12,notpoor,
urban,man,71,indigenous,3,0,,,,,,,12,notpoor,
urban,man,59,indigenous,4,1,selfemployed,transportation,small,0,48,5400,6,notpoor,2
urban,woman,57,indigenous,4,1,selfemployed,trade,small,0,30,2700,5,notpoor,3
urban,man,30,indigenous,4,1,selfemployed,transportation,small,0,60,6000,12,notpoor,1
urban,woman,20,indigenous,4,0,,,,,,,14,notpoor,
urban,man,31,other,4,1,selfemployed,transportation,small,0,84,3000,9,notpoor,1
urban,woman,28,other,4,0,,,,,,,12,notpoor,
urban,woman,6,other,4,0,,,,,,,0,notpoor,
urban,man,0,other,4,0,,,,,,,,notpoor,
urban,man,65,indigenous,3,1,selfemployed,transportation,small,0,60,3900,2,notpoor,3
urban,woman,29,indigenous,3,0,,,,,,,12,notpoor,
urban,woman,19,indigenous,3,1,,,,0,,,12,notpoor,
urban,woman,45,indigenous,9,1,selfemployed,trade,small,0,36,2400,5,notpoor,5
urban,man,25,indigenous,9,1,selfemployed,transportation,small,0,60,8100,10,notpoor,5
urban,man,15,indigenous,9,0,,,,,,,6,notpoor,
urban,man,14,indigenous,9,0,,,,,,,8,notpoor,
urban,woman,12,indigenous,9,0,,,,,,,6,notpoor,
urban,man,8,indigenous,9,0,,,,,,,2,notpoor,
urban,man,24,indigenous,9,1,selfemployed,trade,small,0,30,7740,10,notpoor,2
urban,woman,26,indigenous,9,1,selfemployed,manufacture,small,0,20,1634,10,notpoor,1
urban,woman,0,indigenous,9,0,,,,,,,,notpoor,
urban,man,31,indigenous,4,1,selfemployed,transportation,small,0,54,7500,12,notpoor,7
urban,woman,28,indigenous,4,1,selfemployed,manufacture,small,0,30,1720,10,notpoor,6
urban,man,9,indigenous,4,0,,,,,,,3,notpoor,
urban,man,4,indigenous,4,0,,,,,,,0,notpoor,
urban,man,34,indigenous,5,1,selfemployed,trade,small,0,60,4945,8,notpoor,5
urban,woman,32,indigenous,5,1,selfemployed,trade,small,0,24,1800,6,notpoor,1
urban,man,12,indigenous,5,0,,,,,,,5,notpoor,
urban,woman,7,indigenous,5,0,,,,,,,0,notpoor,
urban,woman,2,indigenous,5,0,,,,,,,,notpoor,
urban,man,53,indigenous,7,1,selfemployed,transportation,small,0,72,8400,9,notpoor,7
urban,woman,47,indigenous,7,0,,,,,,,4,notpoor,
urban,woman,28,indigenous,7,1,employee,manufacture,medium,0,54,1800,12,notpoor,2
urban,woman,24,indigenous,7,1,employee,manufacture,medium,0,72,1800,12,notpoor,2
urban,woman,26,indigenous,7,0,,,,,,,12,notpoor,
urban,man,28,indigenous,7,1,employee,construction,medium,0,48,2500,12,notpoor,1
urban,man,5,indigenous,7,0,,,,,,,0,notpoor,
urban,man,58,indigenous,5,1,employee,transportation,large,1,84,3250,5,poor,1
urban,woman,52,indigenous,5,0,,,,,,,5,poor,
urban,woman,28,indigenous,5,1,,,,0,,,17,poor,
urban,woman,24,indigenous,5,1,,,,0,,,16,poor,
urban,woman,22,indigenous,5,0,,,,,,,16,poor,
urban,man,58,indigenous,4,1,selfemployed,transportation,small,0,66,7800,17,notpoor,20
urban,woman,45,indigenous,4,0,,,,,,,5,notpoor,
urban,man,22,indigenous,4,1,selfemployed,services,small,0,25,2700,15,notpoor,0.5833333
urban,man,19,indigenous,4,1,employee,trade,small,0,45,1200,12,notpoor,1
urban,man,35,indigenous,9,1,selfemployed,construction,small,0,60,3225,8,notpoor,10
urban,woman,34,indigenous,9,0,,,,,,,10,notpoor,
urban,man,18,indigenous,9,1,unpaid,construction,small,0,60,0,12,notpoor,0.6666667
urban,man,13,indigenous,9,0,,,,,,,7,notpoor,
urban,woman,10,indigenous,9,0,,,,,,,4,notpoor,
urban,man,4,indigenous,9,0,,,,,,,0,notpoor,
urban,woman,2,indigenous,9,0,,,,,,,,notpoor,
urban,woman,80,indigenous,9,0,,,,,,,5,notpoor,
urban,woman,28,indigenous,9,1,employee,services,small,0,48,2580,14,notpoor,1
urban,man,47,indigenous,8,1,selfemployed,construction,small,0,60,4200,12,notpoor,25
urban,woman,47,indigenous,8,0,,,,,,,7,notpoor,
urban,man,30,indigenous,8,1,selfemployed,transportation,small,0,60,7500,12,notpoor,5
urban,man,28,indigenous,8,0,,,,,,,12,notpoor,
urban,man,25,indigenous,8,0,,,,,,,12,notpoor,
urban,man,23,indigenous,8,1,,,,0,,,12,notpoor,
urban,woman,21,indigenous,8,1,,,,0,,,12,notpoor,
urban,woman,21,indigenous,8,1,,,,0,,,12,notpoor,
urban,man,26,indigenous,6,1,selfemployed,transportation,small,0,60,6000,12,notpoor,5
urban,woman,29,indigenous,6,0,,,,,,,12,notpoor,
urban,woman,10,indigenous,6,0,,,,,,,3,notpoor,
urban,man,6,indigenous,6,0,,,,,,,0,notpoor,
urban,woman,2,indigenous,6,0,,,,,,,,notpoor,
urban,woman,0,indigenous,6,0,,,,,,,,notpoor,
urban,woman,47,indigenous,5,1,selfemployed,manufacture,small,0,30,5400,6,notpoor,25
urban,man,23,indigenous,5,0,,,,,,,16,notpoor,
urban,woman,21,indigenous,5,1,unpaid,manufacture,small,0,25,0,14,notpoor,3
urban,woman,18,other,5,0,,,,,,,12,notpoor,
urban,man,16,indigenous,5,0,,,,,,,10,notpoor,
urban,man,54,indigenous,4,1,selfemployed,trade,small,0,36,9900,9,notpoor,7
urban,woman,50,indigenous,4,1,unpaid,trade,small,0,30,0,5,notpoor,10
urban,man,19,indigenous,4,0,,,,,,,0,notpoor,
urban,woman,12,indigenous,4,0,,,,,,,6,notpoor,
urban,man,57,indigenous,7,1,selfemployed,manufacture,small,0,36,990,1,notpoor,5
urban,woman,56,indigenous,7,1,selfemployed,trade,small,0,72,1500,1,notpoor,0.8333333
urban,man,37,indigenous,7,1,selfemployed,transportation,small,0,54,9000,12,notpoor,2
urban,woman,35,indigenous,7,0,,,,,,,12,notpoor,
urban,woman,15,indigenous,7,0,,,,,,,9,notpoor,
urban,man,13,indigenous,7,0,,,,,,,7,notpoor,
urban,woman,5,indigenous,7,0,,,,,,,0,notpoor,
urban,man,26,indigenous,3,1,employee,manufacture,medium,0,30,2733.333,13,notpoor,8
urban,woman,34,indigenous,3,1,employee,manufacture,medium,0,30,2000,8,notpoor,0.6666667
urban,man,6,indigenous,3,0,,,,,,,0,notpoor,
urban,man,45,indigenous,4,1,employee,transportation,small,0,12,400,12,notpoor,0.0833333
urban,woman,43,indigenous,4,1,selfemployed,trade,small,0,54,2700,4,notpoor,5
urban,man,19,indigenous,4,1,unpaid,trade,small,0,6,0,12,notpoor,0.6666667
urban,man,14,indigenous,4,0,,,,,,,7,notpoor,
urban,man,47,indigenous,6,1,selfemployed,transportation,small,0,60,2400,7,poor,15
urban,woman,37,indigenous,6,0,,,,,,,4,poor,
urban,woman,24,indigenous,6,0,,,,,,,13,poor,
urban,man,17,indigenous,6,0,,,,,,,10,poor,
urban,woman,15,indigenous,6,0,,,,,,,6,poor,
urban,man,6,indigenous,6,0,,,,,,,0,poor,
urban,man,61,indigenous,2,1,selfemployed,construction,small,0,60,3000,5,notpoor,0.8333333
urban,woman,72,indigenous,2,0,,,,,,,0,notpoor,
urban,man,39,other,4,1,selfemployed,transportation,small,0,50,2451,12,poor,10
urban,woman,32,other,4,0,,,,,,,11,poor,
urban,man,9,other,4,0,,,,,,,3,poor,
urban,woman,7,other,4,0,,,,,,,1,poor,
urban,woman,35,other,3,1,selfemployed,trade,small,0,35,1677,12,poor,10
urban,man,9,other,3,0,,,,,,,3,poor,
urban,woman,6,other,3,0,,,,,,,0,poor,
urban,man,37,indigenous,4,1,employee,services,medium,1,20,4175.917,16,notpoor,12
urban,woman,37,indigenous,4,1,employee,services,medium,1,16,3850.917,17,notpoor,12
urban,man,6,other,4,0,,,,,,,0,notpoor,
urban,woman,2,other,4,0,,,,,,,,notpoor,
urban,man,46,indigenous,4,1,employee,trade,medium,1,48,5991.667,12,notpoor,20
urban,woman,45,indigenous,4,1,selfemployed,trade,small,0,24,3182,12,notpoor,21
urban,woman,20,other,4,0,,,,,,,12,notpoor,
urban,man,14,other,4,0,,,,,,,7,notpoor,
urban,man,38,indigenous,5,1,selfemployed,manufacture,small,0,51,1375,7,notpoor,3
urban,woman,35,other,5,1,selfemployed,trade,small,0,40,6000,3,notpoor,20
urban,woman,17,other,5,0,,,,,,,10,notpoor,
urban,woman,15,other,5,0,,,,,,,8,notpoor,
urban,woman,6,other,5,0,,,,,,,0,notpoor,
urban,man,45,other,4,1,employee,manufacture,small,0,48,2500,6,notpoor,2
urban,man,40,other,4,1,employer,trade,small,0,60,7200,11,notpoor,5
urban,man,34,other,4,1,employee,manufacture,small,0,48,2275,3,notpoor,8
urban,man,33,other,4,1,employee,services,small,0,60,1733.333,5,notpoor,5
urban,woman,35,other,3,1,employee,services,large,1,48,3416.667,17,notpoor,6
urban,woman,15,other,3,0,,,,,,,6,notpoor,
urban,woman,4,other,3,0,,,,,,,0,notpoor,
urban,man,21,other,2,1,selfemployed,trade,small,0,16,610.6,14,poor,3
urban,woman,18,other,2,1,employee,manufacture,small,0,12,200,12,poor,0.25
urban,man,43,other,5,1,employee,manufacture,large,1,48,3416.667,4,notpoor,12
urban,woman,35,other,5,1,selfemployed,trade,small,0,16,3000,10,notpoor,3
urban,man,17,other,5,0,,,,,,,11,notpoor,
urban,woman,13,other,5,0,,,,,,,7,notpoor,
urban,man,12,other,5,0,,,,,,,5,notpoor,
urban,man,41,other,6,1,selfemployed,construction,small,0,48,3150,12,poor,30
urban,woman,38,other,6,1,selfemployed,trade,small,0,54,688,2,poor,15
urban,man,19,other,6,0,,,,,,,12,poor,
urban,woman,14,other,6,0,,,,,,,8,poor,
urban,man,12,other,6,0,,,,,,,6,poor,
urban,woman,2,other,6,0,,,,,,,,poor,
urban,man,49,indigenous,6,1,employee,transportation,small,0,60,2800,12,poor,1
urban,woman,39,indigenous,6,0,,,,,,,4,poor,
urban,woman,18,other,6,0,,,,,,,12,poor,
urban,woman,16,other,6,0,,,,,,,11,poor,
urban,man,7,other,6,0,,,,,,,1,poor,
urban,woman,2,other,6,0,,,,,,,,poor,
urban,man,58,indigenous,2,1,,,,0,,,5,notpoor,
urban,woman,55,indigenous,2,1,selfemployed,trade,small,0,12,2400,5,notpoor,5
urban,man,38,indigenous,6,1,employer,manufacture,small,0,60,1950,12,poor,3
urban,woman,37,indigenous,6,1,unpaid,manufacture,small,0,30,0,12,poor,2
urban,woman,13,indigenous,6,0,,,,,,,6,poor,
urban,man,8,indigenous,6,0,,,,,,,2,poor,
urban,woman,5,indigenous,6,0,,,,,,,0,poor,
urban,man,4,indigenous,6,0,,,,,,,0,poor,
urban,woman,21,indigenous,4,1,selfemployed,manufacture,small,0,30,731,8,poor,2
urban,man,5,indigenous,4,0,,,,,,,0,poor,
urban,man,3,indigenous,4,0,,,,,,,,poor,
urban,woman,1,indigenous,4,0,,,,,,,,poor,
urban,man,35,indigenous,4,1,selfemployed,manufacture,small,0,55,2000,4,notpoor,6
urban,woman,28,indigenous,4,1,selfemployed,trade,small,0,54,1204,6,notpoor,5
urban,woman,10,indigenous,4,0,,,,,,,3,notpoor,
urban,man,4,indigenous,4,0,,,,,,,0,notpoor,
urban,man,32,indigenous,4,1,employee,construction,medium,0,55,3010,8,notpoor,15
urban,woman,33,indigenous,4,0,,,,,,,3,notpoor,
urban,man,4,indigenous,4,0,,,,,,,0,notpoor,
urban,man,3,indigenous,4,0,,,,,,,,notpoor,
urban,man,43,indigenous,7,1,employee,construction,small,0,48,6450,5,notpoor,14
urban,woman,39,indigenous,7,1,selfemployed,trade,small,0,24,1247,3,notpoor,10
urban,man,25,indigenous,7,1,employee,services,medium,0,24,1860,16,notpoor,0.25
urban,woman,23,indigenous,7,1,employee,services,,0,25,800,14,notpoor,0.0833333
urban,woman,18,indigenous,7,1,employee,trade,medium,0,8,1400,12,notpoor,0.1666667
urban,woman,15,indigenous,7,0,,,,,,,9,notpoor,
urban,woman,4,indigenous,7,0,,,,,,,0,notpoor,
urban,woman,79,indigenous,1,1,selfemployed,manufacture,small,0,10,731,0,notpoor,10
urban,woman,60,indigenous,2,1,selfemployed,services,small,0,21,516,2,notpoor,30
urban,woman,28,other,2,1,selfemployed,services,small,0,9,2322,15,notpoor,8
urban,man,29,other,2,1,employee,services,medium,1,48,2295,15,notpoor,0.0383583
urban,woman,29,other,2,1,employee,trade,medium,0,45,2700,12,notpoor,0.0833333
urban,man,38,other,4,1,employee,services,large,1,78,3300,17,notpoor,2
urban,woman,43,other,4,0,,,,,,,17,notpoor,
urban,man,10,other,4,0,,,,,,,4,notpoor,
urban,woman,6,other,4,0,,,,,,,0,notpoor,
urban,man,58,indigenous,1,1,employee,trade,small,0,48,2166.667,4,notpoor,2
urban,man,54,indigenous,4,1,employee,services,large,1,25,8816.667,16,notpoor,29
urban,woman,49,indigenous,4,1,selfemployed,trade,small,0,60,2150,5,notpoor,35
urban,woman,23,indigenous,4,1,,,,0,,,16,notpoor,
urban,woman,19,indigenous,4,1,selfemployed,trade,small,0,12,300,13,notpoor,0.6666667
urban,man,25,other,3,1,selfemployed,transportation,small,0,50,2400,12,poor,3
urban,woman,24,other,3,0,,,,,,,16,poor,
urban,woman,2,other,3,0,,,,,,,,poor,
urban,man,39,other,5,1,selfemployed,construction,small,0,60,2940,12,poor,13
urban,woman,38,other,5,1,selfemployed,trade,small,0,18,399.9,12,poor,2
urban,man,16,other,5,0,,,,,,,10,poor,
urban,man,8,other,5,0,,,,,,,2,poor,
urban,woman,3,other,5,0,,,,,,,,poor,
urban,woman,43,indigenous,3,1,selfemployed,trade,small,0,70,2100,6,notpoor,30
urban,man,18,other,3,1,selfemployed,transportation,small,0,42,1650,10,notpoor,1
urban,man,16,other,3,0,,,,,,,10,notpoor,
urban,man,47,other,5,1,unpaid,trade,small,0,25,0,13,notpoor,5
urban,woman,46,other,5,1,selfemployed,trade,small,0,40,9000,3,notpoor,5
urban,man,25,other,5,1,selfemployed,construction,,0,48,3000,12,notpoor,5
urban,woman,23,other,5,0,,,,,,,13,notpoor,
urban,woman,2,other,5,0,,,,,,,,notpoor,
urban,man,43,indigenous,6,1,selfemployed,trade,small,0,48,1400,12,poor,7
urban,woman,43,indigenous,6,1,selfemployed,services,small,0,48,1290,10,poor,25
urban,man,23,other,6,0,,,,,,,15,poor,
urban,man,16,other,6,0,,,,,,,11,poor,
urban,man,15,other,6,0,,,,,,,10,poor,
urban,woman,9,other,6,0,,,,,,,4,poor,
urban,man,30,indigenous,4,1,employee,services,large,1,40,2675,12,notpoor,4
urban,woman,30,indigenous,4,1,selfemployed,trade,small,0,70,1720,10,notpoor,2
urban,woman,8,indigenous,4,0,,,,,,,2,notpoor,
urban,man,6,indigenous,4,0,,,,,,,0,notpoor,
urban,man,46,indigenous,6,1,selfemployed,services,small,0,60,1935,5,poor,30
urban,woman,48,indigenous,6,0,,,,,,,5,poor,
urban,man,19,indigenous,6,0,,,,,,,12,poor,
urban,man,16,indigenous,6,0,,,,,,,9,poor,
urban,woman,13,indigenous,6,0,,,,,,,6,poor,
urban,man,9,indigenous,6,0,,,,,,,2,poor,
urban,man,21,indigenous,3,1,employee,construction,small,0,60,3000,12,notpoor,1
urban,woman,20,indigenous,3,1,employee,services,medium,1,48,2350,12,notpoor,0.9166667
urban,man,1,indigenous,3,0,,,,,,,,notpoor,
urban,man,38,indigenous,3,1,employer,services,small,0,60,4600,17,notpoor,4
urban,woman,32,indigenous,3,1,unpaid,services,small,0,9,0,17,notpoor,2
urban,man,37,indigenous,3,1,employee,services,small,0,12,1000,12,notpoor,1
urban,man,39,other,5,1,selfemployed,services,small,0,40,3870,17,notpoor,10
urban,woman,45,other,5,1,,,,0,,,12,notpoor,
urban,woman,23,other,5,1,employee,services,large,0,20,800,12,notpoor,0.5
urban,woman,22,other,5,1,,,,0,,,15,notpoor,
urban,woman,5,other,5,0,,,,,,,0,notpoor,
urban,man,36,other,4,1,employee,manufacture,small,0,60,3000,6,notpoor,10
urban,woman,40,indigenous,4,0,,,,,,,12,notpoor,
urban,woman,16,other,4,0,,,,,,,10,notpoor,
urban,man,10,other,4,0,,,,,,,4,notpoor,
urban,man,38,other,3,1,selfemployed,manufacture,small,0,42,2200,12,notpoor,5
urban,woman,35,other,3,0,,,,,,,12,notpoor,
urban,man,3,other,3,0,,,,,,,,notpoor,
urban,woman,40,other,2,1,employer,manufacture,small,0,56,1700,12,notpoor,8
urban,man,5,other,2,0,,,,,,,0,notpoor,
urban,man,65,other,2,0,,,,,,,16,notpoor,
urban,woman,62,other,2,1,selfemployed,trade,small,1,10,1290,16,notpoor,6
urban,man,58,indigenous,7,1,selfemployed,trade,small,0,60,3450,14,notpoor,15
urban,woman,49,other,7,1,unpaid,trade,small,0,60,0,10,notpoor,15
urban,woman,30,other,7,1,employee,services,large,1,48,4000,17,notpoor,0.4166667
urban,man,28,other,7,1,,,,0,,,17,notpoor,
urban,man,26,other,7,1,employee,services,large,1,48,3000,17,notpoor,0.5833333
urban,man,9,other,7,0,,,,,,,3,notpoor,
urban,man,2,other,7,0,,,,,,,,notpoor,
urban,man,38,other,4,1,employee,services,large,1,40,5929.167,17,notpoor,10
urban,woman,39,other,4,0,,,,,,,12,notpoor,
urban,man,7,other,4,0,,,,,,,2,notpoor,
urban,woman,5,other,4,0,,,,,,,0,notpoor,
urban,man,40,indigenous,7,1,selfemployed,trade,small,0,48,1500,14,poor,8
urban,woman,38,other,7,1,unpaid,trade,small,0,72,0,12,poor,9
urban,man,16,other,7,0,,,,,,,9,poor,
urban,man,14,other,7,0,,,,,,,9,poor,
urban,woman,11,other,7,0,,,,,,,5,poor,
urban,man,8,other,7,0,,,,,,,2,poor,
urban,man,5,other,7,0,,,,,,,0,poor,
urban,woman,19,indigenous,2,0,,,,,,,12,notpoor,
urban,woman,18,indigenous,2,0,,,,,,,12,notpoor,
urban,man,52,indigenous,3,1,unpaid,trade,small,0,40,0,11,notpoor,3
urban,woman,52,indigenous,3,1,selfemployed,trade,small,0,40,3000,11,notpoor,3
urban,woman,24,indigenous,3,1,,,,0,,,14,notpoor,
urban,man,64,indigenous,2,1,selfemployed,transportation,small,0,40,2100,4,notpoor,20
urban,woman,19,indigenous,2,0,,,,,,,0,notpoor,
urban,man,48,indigenous,2,1,employee,construction,medium,0,48,2580,12,notpoor,3
urban,woman,45,indigenous,2,1,,,,0,,,10,notpoor,
urban,woman,49,other,6,1,selfemployed,trade,small,0,40,3000,12,notpoor,15
urban,woman,19,other,6,0,,,,,,,12,notpoor,
urban,man,17,other,6,1,employee,services,medium,0,18,1720,12,notpoor,0.0833333
urban,man,10,other,6,0,,,,,,,3,notpoor,
urban,woman,21,other,6,1,selfemployed,trade,small,0,30,3000,12,notpoor,2
urban,woman,2,other,6,0,,,,,,,,notpoor,
urban,man,36,indigenous,5,1,selfemployed,construction,small,0,32,1634,15,poor,2
urban,woman,33,other,5,1,selfemployed,manufacture,small,0,60,1075,15,poor,2
urban,woman,12,other,5,0,,,,,,,6,poor,
urban,woman,9,other,5,0,,,,,,,2,poor,
urban,woman,7,other,5,0,,,,,,,0,poor,
urban,woman,47,indigenous,3,1,selfemployed,trade,small,0,26,3000,7,notpoor,18
urban,man,20,indigenous,3,0,,,,,,,12,notpoor,
urban,man,8,indigenous,3,0,,,,,,,2,notpoor,
urban,woman,52,indigenous,3,1,selfemployed,trade,small,0,24,9930,8,notpoor,7
urban,man,12,indigenous,3,0,,,,,,,6,notpoor,
urban,woman,55,indigenous,3,1,selfemployed,trade,small,0,40,3600,4,notpoor,4
urban,man,58,other,4,1,,,,0,,,7,notpoor,
urban,woman,56,other,4,0,,,,,,,7,notpoor,
urban,man,25,other,4,0,,,,,,,18,notpoor,
urban,woman,17,other,4,0,,,,,,,11,notpoor,
urban,man,28,other,4,1,selfemployed,trade,small,0,48,6880,12,notpoor,5
urban,woman,28,other,4,0,,,,,,,12,notpoor,
urban,woman,7,other,4,0,,,,,,,2,notpoor,
urban,woman,4,other,4,0,,,,,,,0,notpoor,
urban,woman,51,other,2,1,selfemployed,trade,small,0,16,838.5,5,notpoor,7
urban,man,58,other,2,1,employee,transportation,large,0,40,2858.333,7,notpoor,20
urban,woman,73,other,2,1,selfemployed,agriculture,small,0,12,20,0,notpoor,30
urban,woman,29,other,2,1,employee,services,medium,1,40,2600,16,notpoor,0.0575374
urban,woman,54,indigenous,4,1,selfemployed,trade,small,0,36,1720,1,notpoor,2
urban,man,21,other,4,0,,,,,,,12,notpoor,
urban,man,19,other,4,0,,,,,,,12,notpoor,
urban,woman,17,other,4,0,,,,,,,10,notpoor,
urban,woman,36,other,4,0,,,,,,,13,poor,
urban,man,14,other,4,0,,,,,,,8,poor,
urban,woman,13,other,4,0,,,,,,,7,poor,
urban,woman,8,other,4,0,,,,,,,2,poor,
urban,man,35,indigenous,5,1,selfemployed,services,,0,30,5000,17,notpoor,7
urban,woman,40,other,5,0,,,,,,,10,notpoor,
urban,man,19,other,5,0,,,,,,,11,notpoor,
urban,man,15,other,5,0,,,,,,,9,notpoor,
urban,woman,13,other,5,0,,,,,,,7,notpoor,
urban,woman,51,indigenous,3,0,,,,,,,2,notpoor,
urban,woman,30,other,3,0,,,,,,,12,notpoor,
urban,woman,6,other,3,0,,,,,,,1,notpoor,
urban,man,57,indigenous,2,1,selfemployed,trade,small,0,60,1920,12,notpoor,10
urban,woman,55,indigenous,2,1,unpaid,trade,small,0,48,0,5,notpoor,10
urban,woman,25,indigenous,2,1,employee,services,large,1,50,4395,15,notpoor,4
urban,woman,4,other,2,0,,,,,,,0,notpoor,
urban,man,26,other,4,1,employee,services,medium,1,40,3075,16,notpoor,5
urban,woman,27,indigenous,4,0,,,,,,,12,notpoor,
urban,woman,3,other,4,0,,,,,,,,notpoor,
urban,woman,90,indigenous,4,0,,,,,,,0,notpoor,
urban,woman,39,indigenous,4,1,selfemployed,manufacture,small,1,48,473,12,poor,1
urban,man,8,other,4,0,,,,,,,1,poor,
urban,woman,1,other,4,0,,,,,,,,poor,
urban,woman,76,indigenous,4,0,,,,,,,0,poor,
urban,woman,39,indigenous,6,1,employee,services,medium,0,10,2750,17,notpoor,10
urban,man,36,other,6,1,employee,services,medium,1,36,2750,17,notpoor,10
urban,man,16,indigenous,6,0,,,,,,,9,notpoor,
urban,man,13,indigenous,6,0,,,,,,,7,notpoor,
urban,man,11,indigenous,6,0,,,,,,,5,notpoor,
urban,woman,6,indigenous,6,0,,,,,,,0,notpoor,
urban,man,22,other,4,1,employee,manufacture,small,1,70,3010,12,notpoor,10
urban,woman,23,other,4,1,selfemployed,trade,small,0,70,3300,14,notpoor,2
urban,woman,4,other,4,0,,,,,,,0,notpoor,
urban,man,1,other,4,0,,,,,,,,notpoor,
urban,man,45,indigenous,4,1,selfemployed,manufacture,small,0,48,2960,8,notpoor,2
urban,woman,43,indigenous,4,1,unpaid,manufacture,small,0,48,0,12,notpoor,2
urban,woman,20,other,4,0,,,,,,,12,notpoor,
urban,man,15,other,4,0,,,,,,,10,notpoor,
urban,woman,56,indigenous,4,1,selfemployed,trade,small,0,60,4300,12,notpoor,4
urban,man,54,indigenous,4,1,unpaid,trade,small,0,60,0,4,notpoor,4
urban,man,15,other,4,0,,,,,,,9,notpoor,
urban,man,13,other,4,0,,,,,,,7,notpoor,
urban,man,35,indigenous,4,1,employee,services,medium,1,48,2233.333,17,poor,6
urban,woman,32,indigenous,4,0,,,,,,,12,poor,
urban,man,10,other,4,0,,,,,,,4,poor,
urban,man,5,other,4,0,,,,,,,0,poor,
urban,man,52,other,3,0,,,,,,,5,notpoor,
urban,woman,51,indigenous,3,1,selfemployed,trade,small,0,24,2988.5,3,notpoor,8
urban,man,12,other,3,0,,,,,,,5,notpoor,
urban,man,57,indigenous,4,1,selfemployed,transportation,small,0,54,5250,12,notpoor,30
urban,woman,57,indigenous,4,1,selfemployed,manufacture,small,0,30,1720,12,notpoor,25
urban,woman,20,other,4,0,,,,,,,13,notpoor,
